team_id,cust_id,display_name,average_lap,best_lap_num,best_lap_time,car_class_id,car_class_name,car_class_short_name,car_id,car_name,class_interval,club_id,club_name,club_shortname,country_code,finish_position,finish_position_in_class,incidents,interval,laps_complete,laps_lead,opt_laps_complete,position,starting_position,starting_position_in_class,team_display_name,simsession_number,simsession_type,simsession_type_name,simsession_subtype,simsession_name,laps_complete_valid,average_lap_valid,speed_valid,time_valid,avg_lap,time,speed,total_session_time
-311356,636573,Roberto JM Artur,1048258,29,1038036,4011,IMSA23,IMSA23,173,Ferrari 296 GT3,0,38,Iberia,Iberia,AD,0,0,6,0,18,0,0,0,-1,-1,Dogs on Web DS Racing,0,3,Open Practice,0,PRACTICE,14,105,158,1468,105.0,1890.0,158.0,1887
-311356,681922,Nuno Tavares Barbosa,1075761,12,1054042,4011,IMSA23,IMSA23,173,Ferrari 296 GT3,16006,39,France,France,MC,3,3,7,16006,14,0,0,3,-1,-1,Dogs on Web DS Racing,0,3,Open Practice,0,PRACTICE,13,108,154,1398,108.0,1512.0,154.0,1887
-339602,720558,Edvin Forslund,1044684,1,1038804,4011,IMSA23,IMSA23,176,Audi R8 LMS EVO II GT3,768,43,Scandinavia,Scandinavia,SE,1,1,6,768,10,0,0,1,-1,-1,SimRace Sweden eSports,0,3,Open Practice,0,PRACTICE,8,104,158,836,104.0,1040.0,158.0,1887
-364697,144094,E Bennett Parsons,1049756,27,1040343,4011,IMSA23,IMSA23,173,Ferrari 296 GT3,2307,48,Japan,Japan,JP,2,2,3,2307,28,0,0,2,-1,-1,THLF eSports,0,3,Open Practice,0,PRACTICE,26,105,157,2729,105.0,2940.0,157.0,1887
