team_id,cust_id,display_name,finish_position,finish_position_in_class,laps_lead,laps_complete,opt_laps_complete,interval,class_interval,average_lap,best_lap_num,best_lap_time,position,starting_position,starting_position_in_class,car_class_id,car_class_name,car_class_short_name,club_id,club_name,club_shortname,incidents,car_id,car_name,team_display_name,simsession_number,simsession_type,simsession_type_name,simsession_subtype,simsession_name,laps_complete_valid,average_lap_valid,speed_valid,time_valid,avg_lap,time,speed,total_session_time
-249688,387312,Gianpaolo Filippo Cristini,5,0,0,49,0,-1,0,2191317,96,2143060,5,11,1,2523,Dallara P217,Dallara P217,41,Italy,Italy,7,128,Dallara P217,LEO RACING TEAM LMP2,0,6,Race,0,RACE,46,219.1316782608696,223.91250776251545,10080.057200000001,219.1317,10737.4533,223.91248554910132,21539.1573
-306596,245246,Alberto García Blasco,6,1,0,55,0,-1,-1,2205943,96,2142825,6,12,2,2523,Dallara P217,Dallara P217,24,Hispanoamérica,Hispanoamérica,0,128,Dallara P217,XBD Emiral Racing,0,6,Race,0,RACE,53,220.5943169811321,222.42786795725456,11691.498800000001,220.5943,12132.6865,222.4278850795329,21539.1573
-306596,637180,Hugo González Aranda,6,1,0,43,0,-1,-1,2213360,64,2154984,6,12,2,2523,Dallara P217,Dallara P217,38,Iberia,Iberia,3,128,Dallara P217,XBD Emiral Racing,0,6,Race,0,RACE,40,221.33603,221.68249611055194,8853.4412,221.336,9517.448,221.68252615751618,21539.1573
-254304,532015,Winston Ekkel,7,2,0,54,0,-1,-1,2205254,93,2150804,7,15,5,2523,Dallara P217,Dallara P217,40,Benelux,Benelux,4,128,Dallara P217,Platinum Racing Team Blue,0,6,Race,0,RACE,50,220.52536600000002,222.49741378776352,11026.268300000002,220.5254,11908.371599999999,222.49737948372388,21539.1573
-254304,363812,Vincent Aussems,7,2,0,44,0,-1,-1,2203241,76,2150384,7,15,5,2523,Dallara P217,Dallara P217,40,Benelux,Benelux,1,128,Dallara P217,Platinum Racing Team Blue,0,6,Race,0,RACE,41,220.38887560975607,222.63521002975685,9035.943899999998,220.3241,9694.2604,222.70066510926407,21539.1573
-272942,23801,Sean D Campbell,8,3,0,68,0,-1,-1,2202794,97,2133379,8,10,0,2523,Dallara P217,Dallara P217,25,Carolina,Carolina,2,128,Dallara P217,SWANK RACING,0,6,Race,0,RACE,59,220.27942881355932,222.74582730613892,12996.4863,220.2794,14978.9992,222.74585644231826,21539.1573
-272942,626628,Drew Swank,8,3,0,30,0,-1,-1,2239039,48,2171852,8,10,0,2523,Dallara P217,Dallara P217,32,West,West,5,128,Dallara P217,SWANK RACING,0,6,Race,0,RACE,29,223.90394482758623,219.14005868624943,6493.214400000001,223.9039,6717.117,219.14010256007154,21539.1573
-140500,347125,Ben Dutton,9,4,0,58,0,-1,-1,2208516,89,2146794,9,16,6,2523,Dallara P217,Dallara P217,34,Australia/NZ,Australia/NZ,2,128,Dallara P217,505 Endurance,0,6,Race,0,RACE,52,220.85164423076924,222.16870415657988,11484.2855,220.8516,12809.3928,222.16874865113047,21539.1573
-140500,347464,Jens Kaiser,9,4,0,40,0,-1,-1,2207911,76,2147806,9,16,6,2523,Dallara P217,Dallara P217,42,DE-AT-CH,DE-AT-CH,0,128,Dallara P217,505 Endurance,0,6,Race,0,RACE,36,220.7911472222222,222.2295786171882,7948.4812999999995,220.7911,8831.644,222.22962614706844,21539.1573
-261365,512050,Alberto Gazapo,10,5,0,48,0,-1,-1,2206309,89,2151331,10,13,3,2523,Dallara P217,Dallara P217,38,Iberia,Iberia,5,128,Dallara P217,MRP by Fields Academy,0,6,Race,0,RACE,45,220.63090888888888,222.39097802162485,9928.3909,220.6309,10590.2832,222.39098698142465,21539.1573
-261365,266382,Tobi Soriano,10,5,0,30,0,-1,-1,2224049,2,2147666,10,13,3,2523,Dallara P217,Dallara P217,24,Hispanoamérica,Hispanoamérica,5,128,Dallara P217,MRP by Fields Academy,0,6,Race,0,RACE,30,222.4048533333333,220.61714424937014,6672.145599999999,222.4049,6672.147,220.6170979578238,21539.1573
-261365,310141,Cristian Streitemberger,10,5,0,20,0,-1,-1,2208409,78,2153489,10,13,3,2523,Dallara P217,Dallara P217,38,Iberia,Iberia,3,128,Dallara P217,MRP by Fields Academy,0,6,Race,0,RACE,15,220.84088666666668,222.17952640110454,3312.6133,220.8409,4416.818,222.17951298695124,21539.1573
-297570,577596,Tom Fain,11,5,0,52,0,-1,-1,2140365,39,2065884,11,8,8,4010,BMW M Hybrid V8,BMW M Hybrid V8,23,Mid-South,Mid-South,5,159,BMW M Hybrid V8,Blue Chip Racing LMDh,0,6,Race,0,RACE,43,214.03648604651164,229.24280114997563,9203.5689,214.0365,11129.898,229.24278620515665,21539.1573
-297570,658251,Jakub Urbanczyk,11,5,0,23,0,-1,-1,2096191,54,2051714,11,8,8,4010,BMW M Hybrid V8,BMW M Hybrid V8,36,UK and I,UK and I,13,159,BMW M Hybrid V8,Blue Chip Racing LMDh,0,6,Race,0,RACE,20,209.6191,234.07372519775154,4192.382,209.6191,4821.2393,234.07372519775154,21539.1573
-297570,636584,Chase Brown3,11,5,0,22,0,-1,-1,2147555,70,2090268,11,8,8,4010,BMW M Hybrid V8,BMW M Hybrid V8,32,West,West,0,159,BMW M Hybrid V8,Blue Chip Racing LMDh,0,6,Race,0,RACE,19,214.75547368421053,228.47531086332216,4080.3540000000003,214.7555,4724.621,228.4752828663294,21539.1573
-298629,857815,Lemi Mischke,12,6,0,67,0,-1,-1,2236645,69,2157733,12,18,8,2523,Dallara P217,Dallara P217,42,DE-AT-CH,DE-AT-CH,14,128,Dallara P217,Scopum Racing E-Sports Team Purple,0,6,Race,0,RACE,60,223.76552166666667,219.27562049837096,13425.9313,223.6645,14985.5215,219.3746598570627,21539.1573
-298629,507322,Lukas Brinkmeier,12,6,0,30,0,-1,-1,2255189,58,2166678,12,18,8,2523,Dallara P217,Dallara P217,42,DE-AT-CH,DE-AT-CH,2,128,Dallara P217,Scopum Racing E-Sports Team Purple,0,6,Race,0,RACE,23,225.51888260869566,217.5707995801682,5186.9343,225.5189,6765.567,217.5707828017962,21539.1573
-201381,415746,Sito Ferrer,13,7,0,57,0,-1,-1,2243300,5,2160773,13,20,10,2523,Dallara P217,Dallara P217,38,Iberia,Iberia,7,128,Dallara P217,Peaky Drivers LMP2,0,6,Race,0,RACE,53,224.36703773584907,218.6877542474246,11891.453000000001,224.33,12786.810000000001,218.72386042704943,21539.1573
-201381,528821,Ivan Spitz,13,7,0,40,0,-1,-1,2239467,28,2168104,13,20,10,2523,Dallara P217,Dallara P217,38,Iberia,Iberia,13,128,Dallara P217,Peaky Drivers LMP2,0,6,Race,0,RACE,38,224.00194473684212,219.0441858317043,8512.073900000001,223.9467,8957.868,219.0982211820938,21539.1573
-279040,686915,Nick Kerstens,14,8,0,37,0,-1,-1,2254298,59,2167404,14,22,12,2523,Dallara P217,Dallara P217,40,Benelux,Benelux,7,128,Dallara P217,Platinum Racing Team Black,0,6,Race,0,RACE,32,225.42984375,217.65673432313685,7213.755,225.4298,8340.9026,217.65677656458908,21539.1573
